,title,location,price,area,rooms
0,                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²,3 rooms
1,                        Apartment Lijnbaansgracht 148 A-3                            ,            1016 VW Amsterdam (Jordaan)        ,"                €1,900 per month            ",61 m²,3 rooms
2,                        Apartment Reijnier Vinkeleskade                            ,            1071 SZ Amsterdam (Museumkwartier)        ,"                €2,950 per month            ",80 m²,4 rooms
3,                        Apartment Reijnier Vinkeleskade                            ,            1071 SZ Amsterdam (Museumkwartier)        ,"                €2,750 per month            ",75 m²,3 rooms
4,                        Apartment Nicolaas Witsenkade                            ,            1017 ZS Amsterdam (De Weteringschans)        ,"                €2,150 per month            ",83 m²,2 rooms
5,                        Apartment Leerdamhof                            ,            1108 BM Amsterdam (Nellestein)        ,"                €1,650 per month            ",69 m²,3 rooms
6,                        Apartment Omval 117                            ,            1096 AA Amsterdam (Omval/Overamstel)        ,"                €2,100 per month            ",90 m²,2 rooms
7,                        Apartment Reinaert de Vosstraat                            ,            1055 CL Amsterdam (Erasmuspark)        ,"                €1,950 per month            ",75 m²,2 rooms
8,                        Apartment Visseringstraat                            ,            1051 KG Amsterdam (Staatsliedenbuurt)        ,"                €1,950 per month            ",65 m²,2 rooms
9,                        Apartment Laurierstraat                            ,            1016 PG Amsterdam (Jordaan)        ,"                €1,950 per month            ",60 m²,2 rooms
10,                        Apartment George Sandstraat                            ,"            1102 AG Amsterdam (Bijlmer Centrum (D,F,H))        ","                €2,100 per month            ",92 m²,4 rooms
11,                        Apartment Warmoesstraat 98 C                            ,            1012 JH Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,500 per month            ",65 m²,3 rooms
12,                        Apartment Maasstraat                            ,            1079 BM Amsterdam (Scheldebuurt)        ,"                €2,150 per month            ",69 m²,3 rooms
13,                        Apartment Eerste Jan van der Heijdenstraat                            ,            1072 TV Amsterdam (Oude Pijp)        ,"                €2,750 per month            ",90 m²,3 rooms
14,                        Apartment Overtoom                            ,            1054 HR Amsterdam (Helmersbuurt)        ,"                €3,900 per month            ",166 m²,5 rooms
15,                        Apartment Roerstraat                            ,            1078 LK Amsterdam (Scheldebuurt)        ,"                €2,000 per month            ",96 m²,3 rooms
16,                        Apartment Gerrit van der Veenstraat 46 I                            ,            1077 EE Amsterdam (Apollobuurt)        ,"                €3,475 per month            ",149 m²,4 rooms
17,                        Apartment Herengracht                            ,            1015 BT Amsterdam (Grachtengordel-West)        ,"                €2,150 per month            ",130 m²,3 rooms
18,                        Apartment Wouwermanstraat                            ,            1071 LW Amsterdam (Museumkwartier)        ,"                €4,250 per month            ",161 m²,4 rooms
19,                        Apartment Warmoesstraat 12 E                            ,            1012 JD Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,075 per month            ",74 m²,2 rooms
20,                        Apartment Nicolaas Beetsstraat 55 B                            ,            1053 RJ Amsterdam (Kinkerbuurt)        ,"                €1,525 per month            ",44 m²,2 rooms
21,                        Apartment Leliegracht 39 B                            ,            1016 GS Amsterdam (Grachtengordel-West)        ,"                €2,350 per month            ",80 m²,3 rooms
22,                        Apartment Kerkstraat                            ,            1017 GN Amsterdam (Grachtengordel-Zuid)        ,"                €3,900 per month            ",150 m²,3 rooms
23,                        Apartment Loenermark                            ,            1025 TH Amsterdam (Buikslotermeer)        ,"                €1,600 per month            ",78 m²,3 rooms
24,                        Apartment De Lairessestraat                            ,            1071 PL Amsterdam (Museumkwartier)        ,"                €3,850 per month            ",141 m²,3 rooms
25,                        Apartment Frederik Hendrikplantsoen 3 hs                            ,            1052 XN Amsterdam (Frederik Hendrikbuurt)        ,"                €2,400 per month            ",63 m²,3 rooms
26,                        Apartment Ruyschstraat 313 B                            ,            1091 MR Amsterdam (Oosterparkbuurt)        ,"                €1,750 per month            ",60 m²,2 rooms
27,                        Apartment Singel                            ,            1012 VH Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,750 per month            ",60 m²,2 rooms
28,                        Apartment Geuzenstraat 6 H                            ,            1056 KC Amsterdam (Geuzenbuurt)        ,"                €2,450 per month            ",82 m²,4 rooms
